element,K (10^10 Pa
Ag,10.07
Al,7.218
As,3.942
Au,17.32
B,17.85
Ba,1.03
Be,10.04
Bi,3.148
C,54.54
Ca,1.521
Cd,4.675
Ce,2.395
Co,19.15
Cr,19.03
Cs,0.203
Cu,13.1
Dy,3.844
Er,4.108
Eu,1.472
Fe,16.83
Ga,5.69
Gd,3.834
Ge,7.724
Hf,10.89
Hg,2.825
Ho,3.968
In,4.109
Ir,35.51
K,0.3178
La,2.43
Li,1.158
Lu,4.ll3
Mg,3.544
Mn,5.967
Mo,27.26
Na,0.6817
Elem.,"A
in 1010 Pa"
Nb,17.03
Nd,3.268
Ni,18.64
Os,41.79
P,1.919
Pb,4.299
Pd,18.09
Pm,3.532
Pr,3.058
Pt,27.84
Pu,5.356
Rb,0.3145
Re,37.18
Rh,27.06
Ru,32.09
Sb,3.829
Sc,5.729
Si,9.888
Sm,2.941
Sn,11.09
Sr,1.162
Ta,20.01
Tb,3.993
Tc,29.72
Th,5.429
Ti,10.52
Tl,3.593
Tm,3.97
U,9.879
V,16.2
W,32.33
Y,3.662
Yb,1.327
Zn,5.985
Zr,8.335
