element,nu,V (10^-6 m3/mol),phi (volt)
Ag,2.52,10.25,4.35
Al,2.7,10,4.2
Sn,Na,16.34,
As,3,11.85,4.8
Au,3.87,10.2,5.15
B,5.36,4.7,5.3
Ba,0.53,38.1,2.32
Be,4.66,4.9,5.05
Bi,1.56,19.32,4.15
C,5.55,3.25,6.24
Ca,0.75,26.2,2.55
Cd,1.91,13,4.05
Ce 4+,2.41,16.04,3.25
Ce 3+,1.69,21.62,3.18
Co,5.36,6.7,5.1
Cr,5.18,7.23,4.65
Cs,0.17,69.23,1.95
Cu,3.18,7.12,4.45
Dy,1.82,19,3.21
Er,1.86,18.45,3.22
Eu 2+,0.68,28.95,2.5
Eu 3+,1.77,19.97,3.2
Fe,5.55,7.09,4.93
Ga,2.25,11.82,4.1
Gd,1.77,19.9,3.2
Ge,2.57,9.87,4.55
H,3.38,1.7,5.2
Hf,3.05,13.45,3.6
Hg,1.91,14.08,4.2
Ho,1.82,18.76,3.22
In,1.6,15.75,3.9
Ir,6.13,8.52,5.55
K,0.27,45.63,2.25
La,1.64,22.55,3.17
Li,0.94,13,2.85
Lu,1.91,17.77,3.22
Mg,1.6,14,3.45
Mn,4.17,7.35,4.45
Mo,5.55,9.4,4.65
N,4.49,4.1,6.86
Na,0.55,23.78,2.7
Nb,4.41,10.8,4.05
Nd,1.73,20.58,3.19
Ni,5.36,6.6,5.2
Os,6.33,8.45,5.4
P,4.49,8.6,5.55
Pb,1.52,18.28,4.1
Pd,4.66,8.9,5.45
Pm,1.77,20.25,3.19
Pr,1.73,20.79,3.19
Pt,5.64,9.1,5.65
Pu,2.99,12.06,3.8
Rb,0.22,56.07,2.1
Re,6.33,8.85,5.2
Rh,5.45,8.3,5.4
Ru,6.13,8.2,5.4
Sb,2,16.95,4.4
Sc,2.05,15.03,3.25
Si,3.38,8.6,4.7
Sm,1.77,20.01,3.2
Sri,1.9,16.3,4.15
Sr,0.59,33.93,2.4
Ta,4.33,10.81,4.05
Tb,1.82,19.32,3.21
Tc,5.93,8.64,5.3
Th,2.1,19.8,3.3
Ti,3.51,10.58,3.8
Tl,1.4,17.23,3.9
Tm,1.86,18.12,3.22
U,3.44,13.15,3.9
V,4.41,8.36,4.25
W,5.93,9.55,4.8
Y,1.77,19.9,3.2
Yb 2+,0.78,24.87,2.58
Yb 3+,1.86,17.97,3.22
Zn,2.3,9.17,4.1
Zr,2.8,14,3.45
